year,birth.day,birth.mass,v
1984,145,5.8,1.3900802395358
1984,140,5.3,1.36826960369436
1984,145,3.5,0.508992390104023
1984,144,4.9,1.55897434079831
1984,149,4.4,1.3900802395358
1984,145,4.9,0.508992390104023
1984,147,6.5,0.508992390104023
1984,147,5.1,1.22531989626951
1984,163,6.1,1.57865439366597
1984,142,5.8,0.508992390104023
1984,133,5.8,1.0755542369826
1984,145,5.6,0.508992390104023
1984,144,5.1,1.36826960369436
1984,155,4.8,1.47726392227951
1984,141,4.7,0.508992390104023
1984,133,5.8,1.22531989626951
1984,155,4.3,1.57865439366597
1984,127,7,1.0755542369826
1984,134,6,0.508992390104023
1985,132,7,0.878130620527796
1985,144,5.4,1.55897434079831
1985,146,5.8,0.508992390104023
1985,132,6.1,1.55897434079831
1985,141,7.1,1.57865439366597
1985,144,4.8,0.508992390104023
1985,137,5.3,1.3900802395358
1985,136,5.6,0.508992390104023
1985,136,6.3,1.22531989626951
1985,139,6.2,1.3900802395358
1985,134,5.3,1.22531989626951
1985,134,5.2,0.508992390104023
1985,147,5.1,1.0755542369826
1985,140,5.6,1.3900802395358
1985,151,5.4,1.0755542369826
1985,141,6.3,1.57865439366597
1985,153,7,1.36826960369436
1985,145,6.1,1.3900802395358
1985,152,6.4,1.57865439366597
1985,136,6,1.22531989626951
1985,140,5.7,1.55897434079831
1985,138,6.5,1.57865439366597
1985,153,5,0.508992390104023
1985,127,6.5,0.700869029539366
1985,136,5.8,1.22531989626951
1985,137,5.9,1.36826960369436
1985,136,6.2,1.55897434079831
1985,136,6.3,1.3900802395358
1985,133,5,1.0755542369826
1985,139,5.6,1.3900802395358
1985,135,5.6,0.508992390104023
1985,147,5,1.22531989626951
1985,142,5.8,1.36826960369436
1985,157,5.2,0.508992390104023
1985,134,6.1,0.544025718826197
1985,145,6,1.36826960369436
1985,142,6.5,1.57865439366597
1985,137,5.1,1.3900802395358
1985,140,4.8,1.47726392227951
1985,154,5.6,0.508992390104023
1985,130,5.3,0.700869029539366
1985,136,5.6,0.700869029539366
1985,141,6.4,1.3900802395358
1985,133,5.6,0.508992390104023
1985,133,5.2,0.544025718826197
1985,133,6,0.508992390104023
1985,136,5.1,1.57865439366597
1985,141,5.6,1.3900802395358
1985,135,4.9,0.508992390104023
1985,151,6.1,1.55897434079831
1985,139,5.6,1.3900802395358
1985,135,5.1,0.508992390104023
1985,147,5.5,0.878130620527796
1985,149,5.6,1.57865439366597
1985,142,5.3,1.0755542369826
1985,142,4.2,1.36826960369436
1985,137,5.2,1.3900802395358
1985,141,6.2,1.3900802395358
1985,138,5.9,0.508992390104023
1985,139,4.6,1.55897434079831
1985,147,4.6,1.36826960369436
1985,151,5.1,1.36826960369436
1985,136,5.3,0.508992390104023
1985,140,4.4,1.55897434079831
1985,134,5.2,0.878130620527796
1985,144,5.6,1.0755542369826
1985,136,6.3,1.3900802395358
1985,136,5,1.47726392227951
1985,131,4.5,0.508992390104023
1985,144,5.1,1.55897434079831
1985,140,6.1,1.3900802395358
1985,144,3.8,1.0755542369826
1985,155,4.8,1.36826960369436
1985,141,4.7,1.3900802395358
1985,137,4.9,1.36826960369436
1985,141,5.6,1.3900802395358
1985,138,5.1,0.508992390104023
1985,131,5.1,0.700869029539366
1985,138,4,0.508992390104023
1985,136,4.9,1.0755542369826
1985,131,5.4,0.508992390104023
1985,142,5.5,1.36826960369436
1985,138,4.1,1.57865439366597
1985,138,5.5,1.3900802395358
1985,136,5.6,0.508992390104023
1985,144,4.6,1.0755542369826
1985,147,3.6,1.36826960369436
1985,135,6.3,1.22531989626951
1985,141,6,1.57865439366597
1985,136,6.1,0.508992390104023
1985,139,4.3,0.700869029539366
1985,143,6,1.57865439366597
1985,142,5.5,0.508992390104023
1985,140,5.5,0.878130620527796
1985,148,3.8,1.22531989626951
1985,150,5.6,1.3900802395358
1985,139,5.7,1.3900802395358
1985,136,5.2,0.508992390104023
1985,140,5.1,0.700869029539366
1985,143,4.2,1.3900802395358
1985,144,3.9,0.508992390104023
1985,141,5.7,1.57865439366597
1985,128,6.3,1.22531989626951
1985,133,6.5,0.508992390104023
1985,145,5.1,1.55897434079831
1985,138,5,0.700869029539366
1985,139,5.4,1.3900802395358
1985,137,4.3,0.700869029539366
1985,145,5.8,1.57865439366597
1985,140,5.3,1.22531989626951
1985,144,4.9,1.47726392227951
1985,149,4.4,1.57865439366597
1985,151,4.2,0.508992390104023
1985,145,4.9,1.3900802395358
1985,147,6.5,1.3900802395358
1985,147,5.1,1.0755542369826
1985,163,6.1,1.55897434079831
1985,142,5.8,1.3900802395358
1985,140,5.3,0.508992390104023
1985,133,5.8,0.878130620527796
1985,145,5.6,1.3900802395358
1985,139,5.4,0.508992390104023
1985,144,5.1,1.22531989626951
1985,155,4.8,1.36826960369436
1985,141,4.7,1.3900802395358
1985,155,3.2,0.508992390104023
1985,133,5.8,1.0755542369826
1985,155,4.3,1.55897434079831
1985,153,5.1,0.508992390104023
1985,127,7,0.878130620527796
1985,134,6,1.3900802395358
1985,133,6.5,0.508992390104023
1986,132,7,0.700869029539366
1986,144,5.4,1.47726392227951
1986,132,6.1,1.47726392227951
1986,138,5.4,0.508992390104023
1986,141,7.1,1.55897434079831
1986,137,5.3,1.57865439366597
1986,142,3.5,0.508992390104023
1986,136,5.6,1.3900802395358
1986,136,6.3,1.0755542369826
1986,139,6.2,1.57865439366597
1986,135,7,0.508992390104023
1986,134,5.3,1.0755542369826
1986,134,5.2,1.3900802395358
1986,135,5.1,0.508992390104023
1986,147,5.1,0.878130620527796
1986,140,5.6,1.57865439366597
1986,151,5.4,0.878130620527796
1986,153,7,1.22531989626951
1986,145,6.1,1.57865439366597
1986,153,4.3,0.508992390104023
1986,140,5.1,0.508992390104023
1986,152,6.4,1.55897434079831
1986,147,3.9,0.508992390104023
1986,136,6,1.0755542369826
1986,146,5.3,0.508992390104023
1986,140,5.7,1.47726392227951
1986,138,6.5,1.55897434079831
1986,147,3.7,0.508992390104023
1986,153,5,1.3900802395358
1986,127,6.5,0.544025718826197
